COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Latvia,LVA,EURO,REPORTING,2023-08-13,2979624.0,1344386,156.2,71.672,1304787,69.561,,2020-12-30,9.0,550901.0,29.37
Lesotho,LSO,AFRO,REPORTING,2023-03-19,1339097.0,1014073,62.509,47.337,938088,43.79,,2021-03-10,3.0,177816.0,8.3
Luxembourg,LUX,EURO,REPORTING,2023-10-01,1337942.0,469286,213.7,72.713,462732,71.697,,2020-12-30,8.0,368526.0,57.101
Montserrat,MSR,AMRO,REPORTING,2023-06-02,4619.0,2104,92.398,42.088,1952,39.048,,2021-02-08,2.0,563.0,11.262
Namibia,NAM,AFRO,REPORTING,2023-11-12,1005937.0,629767,39.59,24.785,550978,21.684,,2021-03-19,4.0,298560.0,11.75
Papua New Guinea,PNG,WPRO,REPORTING,2023-11-05,540974.0,396922,6.046,4.436,335728,3.752,,2021-03-30,4.0,37105.0,0.415
Portugal,PRT,EURO,REPORTING,2023-10-01,27879893.0,9822021,270.8,95.277,8910340,86.073,,2020-12-23,12.0,7086988.0,68.46
Qatar,QAT,EMRO,REPORTING,2023-05-07,7609178.0,2852178,264.111,98.998,2852178,98.998,,,10.0,1904822.0,66.115
Saudi Arabia,SAU,EMRO,REPORTING,2023-04-25,68534631.0,27041364,196.86,77.674,25433941,73.057,,2021-01-06,10.0,16059326.0,46.129
Senegal,SEN,AFRO,REPORTING,2023-11-12,3179647.0,2684696,18.99,16.034,1546628,9.237,,2021-02-23,3.0,724754.0,4.328
Sint Maarten,SXM,AMRO,REPORTING,2023-06-02,66829.0,29788,155.844,69.465,26773,62.434,,2021-02-22,3.0,9146.0,21.328
South Africa,ZAF,AFRO,REPORTING,2023-09-24,41798812.0,24210953,70.477,40.822,21038797,35.473,,2021-02-17,2.0,4410601.0,7.437
Sri Lanka,LKA,SEARO,REPORTING,2022-10-30,40116590.0,17143761,187.345,80.061,14752827,68.896,,2021-01-29,6.0,8220002.0,38.387
United Arab Emirates,ARE,EMRO,REPORTING,2022-07-06,24922054.0,9991089,251.982,101.018,9792266,99.008,,,11.0,5138699.0,51.956
United States of America,USA,AMRO,REPORTING,2023-07-14,711813790.0,270227181,215.048,81.639,230637348,69.678,,2020-12-14,4.0,118438297.0,35.782
Uzbekistan,UZB,EURO,REPORTING,2023-09-24,82204584.0,22087857,245.6,64.809,18445168,54.121,,2021-04-28,9.0,16251340.0,47.684
Wallis and Futuna,WLF,WPRO,REPORTING,2023-01-23,17303.0,7150,153.859,63.578,6803,60.493,,2021-03-19,1.0,3350.0,29.788
Andorra,AND,EURO,REPORTING,2023-09-24,157072.0,57913,203.3,73.276,53501,67.694,,2021-01-20,4.0,43071.0,54.497
Anguilla,AIA,AMRO,REPORTING,2023-10-20,24864.0,10858,165.738,72.377,10382,69.204,,2021-02-05,2.0,3231.0,21.537
Bahamas,BHS,AMRO,REPORTING,2023-06-02,366359.0,174810,93.163,44.453,166972,42.46,,2021-03-14,4.0,33717.0,8.574
Barbados,BRB,AMRO,REPORTING,2023-09-22,381743.0,163853,132.838,57.017,155045,53.952,,2021-01-08,5.0,62845.0,21.869
Belarus,BLR,EURO,REPORTING,2023-09-03,22511000.0,6440777,238.2,67.244,6356035,66.36,,2021-02-03,5.0,5720777.0,59.727
Belize,BLZ,AMRO,REPORTING,2023-10-06,511002.0,236221,128.513,59.408,221454,55.694,,2021-03-01,5.0,50260.0,12.64
Benin,BEN,AFRO,REPORTING,2022-12-18,4232541.0,3697190,34.913,30.497,2742837,22.625,,2021-03-29,5.0,,
Bermuda,BMU,AMRO,REPORTING,2023-08-11,136759.0,48554,219.612,77.97,47657,76.529,,2021-01-11,3.0,32016.0,51.412
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2023-08-25,16104540.0,6506721,137.964,55.742,6307628,54.036,,2021-01-30,7.0,2521192.0,21.598
"Bonaire, Sint Eustatius and Saba",BES,AMRO,OWID,2021-09-01,35845.0,19109,137.934,73.533,16736,64.401,,,2.0,,
Botswana,BWA,AFRO,REPORTING,2023-05-07,3171667.0,1951054,134.871,82.966,1663490,70.738,,2021-03-26,6.0,507654.0,21.587
Cambodia,KHM,WPRO,REPORTING,2023-11-07,47723729.0,15311319,285.447,91.581,14688007,87.852,,2021-02-10,7.0,10762713.0,64.374
Cameroon,CMR,AFRO,REPORTING,2023-10-15,4880572.0,3753733,18.385,14.141,3197286,12.044,,2021-04-12,4.0,803560.0,3.027
Canada,CAN,AMRO,REPORTING,2023-09-22,99034734.0,32534849,262.398,86.203,31198590,82.662,,2020-12-14,6.0,19860368.0,52.621
Chad,TCD,AFRO,REPORTING,2023-11-19,9148883.0,5146338,55.698,31.331,5019031,30.556,,2021-06-04,1.0,4042573.0,24.611
Croatia,HRV,EURO,REPORTING,2023-10-01,5435966.0,2320278,134.0,60.111,2246622,58.168,,2020-12-23,6.0,996098.0,25.79
French Polynesia,PYF,WPRO,REPORTING,2023-07-17,493692.0,195688,175.749,69.663,195688,69.663,,2021-01-18,2.0,102317.0,36.424
Georgia,GEO,EURO,REPORTING,2023-05-28,2739270.0,1300867,68.7,34.616,1187212,31.592,,2021-03-17,4.0,251191.0,6.684
Grenada,GRD,AMRO,REPORTING,2023-06-02,90686.0,44241,80.593,39.317,39034,34.69,,2021-02-15,5.0,7411.0,6.586
Indonesia,IDN,SEARO,REPORTING,2023-11-23,448199860.0,203878473,163.861,74.538,174965137,63.967,,2021-01-13,7.0,69356250.0,25.357
Iran (Islamic Republic of),IRN,EMRO,REPORTING,2023-08-15,155445801.0,65194977,185.07,77.62,58582625,69.747,,2021-02-09,12.0,28576234.0,34.022
Kenya,KEN,AFRO,REPORTING,2023-04-02,23750431.0,14494372,44.169,26.956,11090440,20.625,,2021-03-05,5.0,2000636.0,3.721
Kosovo,XKX,EURO,REPORTING,2023-01-15,1836901.0,904558,,50.758,824752,46.279,,2021-03-31,2.0,105624.0,5.927
Liberia,LBR,AFRO,REPORTING,2022-12-11,4460668.0,3903802,88.196,77.186,3730967,73.768,,2021-04-01,1.0,1987.0,0.039
Madagascar,MDG,AFRO,REPORTING,2023-07-30,3092063.0,2710365,11.166,9.788,2628849,9.494,,2021-05-10,3.0,169187.0,0.611
Mauritania,MRT,AFRO,REPORTING,2023-11-19,4075874.0,2103754,87.66,45.245,1540597,33.134,,2021-03-26,2.0,383937.0,8.257
Nepal,NPL,SEARO,REPORTING,2023-11-23,62627629.0,27883196,214.943,95.697,24471043,83.987,,2021-01-27,8.0,10273390.0,35.259
American Samoa,ASM,WPRO,REPORTING,2023-03-29,114706.0,46206,207.812,83.711,42479,76.959,,2020-12-21,3.0,24160.0,43.77
Austria,AUT,EURO,REPORTING,2023-07-02,20403676.0,6899873,229.2,76.953,6682372,74.423,,2020-12-30,10.0,5405966.0,60.207
Bangladesh,BGD,SEARO,REPORTING,2023-10-18,362229859.0,151504394,219.947,91.994,142193276,86.34,,2021-01-27,8.0,68532189.0,41.613
Brunei Darussalam,BRN,WPRO,REPORTING,2023-06-30,1293100.0,451149,295.58,103.125,446714,102.111,,2021-04-03,5.0,340466.0,77.825
Bulgaria,BGR,EURO,REPORTING,2023-09-24,4618931.0,2108544,66.4,30.831,2080324,30.419,,2020-12-30,4.0,833135.0,12.182
Central African Republic,CAF,AFRO,REPORTING,2023-09-03,3342248.0,2600389,69.201,53.841,2484985,51.451,,2021-03-19,2.0,366221.0,7.583
Cuba,CUB,AMRO,REPORTING,2023-11-17,38217146.0,9916126,337.41,87.547,10037942,88.623,,,3.0,8778841.0,77.506
Curaçao,CUW,AMRO,REPORTING,2023-06-02,260324.0,108601,158.644,66.183,100885,61.48,,2021-02-24,3.0,43138.0,26.289
Ecuador,ECU,AMRO,REPORTING,2023-03-24,39564195.0,14768682,224.248,83.708,14240587,80.715,,2021-01-20,4.0,7732930.0,43.83
Estonia,EST,EURO,REPORTING,2023-10-01,2205229.0,845148,165.9,63.459,842177,63.236,,2020-12-23,9.0,487389.0,36.596
Ethiopia,ETH,AFRO,REPORTING,2023-05-28,68856793.0,52489512,59.894,45.658,43653006,37.971,,2021-03-13,4.0,5978070.0,5.2
Fiji,FJI,WPRO,REPORTING,2023-06-29,1547226.0,712025,172.596,79.428,641194,71.526,,2021-03-07,3.0,172078.0,19.196
Gambia,GMB,AFRO,REPORTING,2023-03-19,1444492.0,674314,59.772,27.903,539186,22.311,,2021-03-10,2.0,53741.0,2.224
Guadeloupe,GLP,AMRO,REPORTING,2023-07-14,400424.0,152189,100.075,38.035,146147,36.525,,2021-01-08,7.0,89052.0,22.256
Honduras,HND,AMRO,REPORTING,2023-08-11,17074861.0,6505566,172.393,65.682,5765751,58.213,,2021-02-22,6.0,4803544.0,48.498
Ireland,IRL,EURO,REPORTING,2023-09-17,12391251.0,4108813,249.6,83.9,4063151,80.299,,2020-12-30,5.0,3058389.0,60.442
Jordan,JOR,EMRO,REPORTING,2022-08-21,10057975.0,4821579,98.577,47.256,4558313,44.676,,2021-01-13,10.0,682211.0,6.686
Libya,LBY,EMRO,REPORTING,2023-01-16,3739158.0,2316327,54.417,33.71,1236102,17.989,,2021-04-11,10.0,186729.0,2.718
Lithuania,LTU,EURO,REPORTING,2023-10-01,4532726.0,1956489,162.2,69.878,1907062,67.964,,2020-12-23,5.0,902114.0,32.149
Malawi,MWI,AFRO,REPORTING,2023-09-24,8503954.0,5433538,44.454,28.403,4288014,22.415,,2021-03-11,2.0,1232829.0,6.444
Maldives,MDV,SEARO,REPORTING,2023-05-25,951764.0,399308,176.075,73.872,385167,71.255,,2021-02-01,8.0,167289.0,30.948
Malta,MLT,EURO,REPORTING,2023-09-03,1280176.0,450535,248.8,86.48,444904,85.399,,2020-12-23,4.0,352640.0,67.689
Netherlands,NLD,EURO,REPORTING,2023-10-01,37561429.0,12582081,215.8,72.285,11767842,66.898,,2020-12-30,8.0,9416761.0,53.533
Niger,NER,AFRO,REPORTING,2023-07-30,7372208.0,6248483,30.455,25.813,5483001,22.651,,2021-03-29,2.0,,
Romania,ROU,EURO,REPORTING,2023-09-10,16111239.0,8188146,83.4,42.999,8142376,42.759,,2021-01-27,4.0,1768917.0,9.289
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,2023-06-02,73443.0,37532,66.201,33.831,31632,28.513,,2021-02-01,5.0,4279.0,3.857
Slovakia,SVK,EURO,REPORTING,2023-10-01,7222567.0,2840027,132.3,52.257,2791711,51.368,,2020-12-23,7.0,1686463.0,31.031
Algeria,DZA,AFRO,REPORTING,2022-09-04,15267442.0,7840131,34.817,17.879,6481186,14.78,,2021-01-30,4.0,575651.0,1.313
Angola,AGO,AFRO,REPORTING,2023-11-19,27722924.0,16522932,84.351,50.273,9591203,29.183,,2021-03-10,1.0,3014421.0,9.172
Armenia,ARM,EURO,REPORTING,2023-10-01,2256919.0,1150915,76.2,41.237,1030758,36.932,,2021-01-27,10.0,81354.0,2.915
Aruba,ABW,AMRO,REPORTING,2023-11-17,217070.0,90493,203.314,84.758,84349,79.004,,2021-02-17,2.0,35659.0,33.399
Brazil,BRA,AMRO,REPORTING,2023-11-17,515827664.0,184663245,242.675,86.876,172666955,81.232,,2021-01-17,5.0,110565285.0,52.016
Burkina Faso,BFA,AFRO,REPORTING,2023-07-23,7893609.0,6089089,37.763,29.13,5232347,25.031,,2021-06-02,3.0,4056.0,0.019
Costa Rica,CRI,AMRO,REPORTING,2023-10-06,13576935.0,4650636,266.522,91.294,4369784,85.781,,2020-12-24,3.0,2986527.0,58.627
Dominica,DMA,AMRO,REPORTING,2023-06-02,67647.0,32995,93.966,45.832,30659,42.587,,2021-02-12,5.0,3993.0,5.547
Finland,FIN,EURO,REPORTING,2023-10-01,13265058.0,4547671,240.1,81.966,4365148,78.676,,2020-12-23,5.0,3088731.0,55.67
French Guiana,GUF,AMRO,REPORTING,2023-07-14,242386.0,100359,81.152,33.601,90493,30.297,,2021-01-13,3.0,46361.0,15.522
Gabon,GAB,AFRO,REPORTING,2023-02-05,572672.0,311244,25.73,13.984,257471,11.568,,2021-03-23,3.0,2592.0,0.116
Haiti,HTI,AMRO,REPORTING,2023-06-16,669130.0,313751,5.868,2.752,355379,3.117,,,2.0,,
Iceland,ISL,EURO,REPORTING,2023-04-16,869976.0,307269,238.9,81.685,297921,79.182,,2020-12-30,5.0,254556.0,67.656
Jersey,JEY,EURO,OWID,2023-01-29,266953.0,84365,247.646,78.264,81882,75.96,,,3.0,73662.0,68.335
Lebanon,LBN,EMRO,REPORTING,2022-12-22,5814699.0,2740227,85.192,40.147,2414223,35.371,,2021-02-14,10.0,660249.0,9.673
Malaysia,MYS,WPRO,REPORTING,2023-10-26,72653181.0,28140956,224.474,86.946,27554035,85.133,,2021-02-24,8.0,16348342.0,50.511
Marshall Islands,MHL,WPRO,REPORTING,2023-03-24,110742.0,47077,187.083,79.53,40689,68.738,,2020-12-29,3.0,18559.0,31.353
Myanmar,MMR,SEARO,REPORTING,2023-08-21,93477104.0,41551927,171.802,76.368,35937796,66.05,,2021-01-27,2.0,15987381.0,29.383
Oman,OMN,EMRO,REPORTING,2022-10-25,7086050.0,3257365,138.762,63.787,3048826,59.703,,2020-12-29,11.0,779859.0,15.272
Pakistan,PAK,EMRO,REPORTING,2023-11-14,340974144.0,165567890,154.362,74.954,140475871,63.595,,2021-02-03,11.0,53152375.0,24.063
Republic of Moldova,MDA,EURO,REPORTING,2023-10-01,2291436.0,1109270,,36.233,1078813,35.238,,2021-03-03,7.0,404774.0,13.221
Saint Kitts and Nevis,KNA,AMRO,REPORTING,2023-06-02,64297.0,33794,120.877,63.532,27000,50.76,,2021-02-22,3.0,3465.0,6.514
Slovenia,SVN,EURO,REPORTING,2023-10-01,2993446.0,1217608,142.8,57.784,1187389,56.35,,2020-12-23,8.0,646504.0,30.681
Somalia,SOM,EMRO,REPORTING,2023-07-25,10555834.0,8972167,66.417,56.453,7666835,48.24,,2021-03-16,11.0,28134.0,0.177
Togo,TGO,AFRO,REPORTING,2023-11-19,3423181.0,2255579,41.349,27.245,1554066,18.772,,2021-03-10,1.0,427804.0,5.168
Tokelau,TKL,WPRO,REPORTING,2022-12-05,6342.0,2203,469.778,163.185,2203,163.185,,2021-07-20,1.0,968.0,71.704
Tunisia,TUN,EMRO,REPORTING,2023-06-20,13253317.0,7218871,112.139,61.08,6401841,54.167,,2021-03-13,10.0,1258577.0,10.649
Solomon Islands,SLB,WPRO,REPORTING,2023-07-04,612700.0,335796,89.2,48.887,254016,36.981,,2021-03-23,4.0,27896.0,4.061
Sudan,SDN,EMRO,REPORTING,2023-04-02,22598737.0,15207452,51.537,34.681,13416394,30.597,,2021-03-09,11.0,3891363.0,8.874
Tonga,TON,WPRO,REPORTING,2023-06-30,204737.0,87375,193.705,82.667,77390,73.22,,2021-04-14,2.0,38588.0,36.509
United Republic of Tanzania,TZA,AFRO,REPORTING,2023-03-12,39392419.0,34434933,65.946,57.647,32165791,53.848,,2021-07-28,3.0,,
Uruguay,URY,AMRO,REPORTING,2023-11-17,9036443.0,3010464,260.137,86.664,2903096,83.573,,2021-02-27,3.0,2080828.0,59.902
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,2023-06-02,37860994.0,22157232,133.145,77.92,14287370,50.244,,2021-02-22,6.0,651502.0,2.291
Vanuatu,VUT,WPRO,REPORTING,2023-02-20,355430.0,176624,115.721,57.505,162250,52.825,,2021-06-02,3.0,16556.0,5.39
Zambia,ZMB,AFRO,REPORTING,2023-06-25,13615707.0,11711565,74.063,63.705,9155551,49.802,,2021-04-14,3.0,1414619.0,7.695
Zimbabwe,ZWE,AFRO,REPORTING,2023-11-19,13935112.0,7525247,93.758,50.631,5660934,38.088,,2021-02-18,4.0,2298971.0,15.468
Albania,ALB,EURO,REPORTING,2023-09-10,3088966.0,1349255,107.3,47.264,1279333,44.815,,2021-01-13,6.0,402371.0,14.095
Chile,CHL,AMRO,REPORTING,2023-11-17,66860038.0,17538744,349.756,91.748,17721847,92.706,,2020-12-21,5.0,15779147.0,82.543
Congo,COG,AFRO,REPORTING,2022-07-31,833210.0,695760,15.1,12.609,654119,11.854,,2021-03-23,4.0,,
Côte d’Ivoire,CIV,AFRO,REPORTING,2023-02-19,25263932.0,13568372,95.776,51.438,12164304,46.115,,2021-03-01,5.0,3138712.0,11.899
Denmark,DNK,EURO,REPORTING,2023-10-01,14915662.0,4746509,256.2,80.813,4711993,80.226,,2020-12-16,5.0,3616993.0,61.582
Greenland,GRL,EURO,OWID,2022-03-14,79738.0,41227,140.453,72.619,38511,67.834,,,1.0,,
Guernsey,GGY,EURO,OWID,2022-12-19,178525.0,54223,276.92,84.108,52710,81.761,,,3.0,69339.0,107.556
Guinea,GIN,AFRO,REPORTING,2023-09-24,12049511.0,8715641,91.751,66.365,5853990,44.575,,2021-03-05,6.0,425378.0,3.239
Guinea-Bissau,GNB,AFRO,REPORTING,2023-10-15,920752.0,747057,46.786,37.96,547637,27.827,,2021-04-02,2.0,76359.0,3.88
Guyana,GUY,AMRO,REPORTING,2023-09-08,967861.0,497550,123.051,63.257,384507,48.885,,2021-02-11,7.0,80224.0,10.199
Hungary,HUN,EURO,REPORTING,2023-10-01,16570818.0,6358690,169.6,65.628,6152042,63.495,,2020-12-23,8.0,3868705.0,39.929
Japan,JPN,WPRO,REPORTING,2023-10-03,409826682.0,104707550,324.034,82.788,103388112,81.745,,2021-02-17,4.0,86596573.0,68.469
Kyrgyzstan,KGZ,EURO,REPORTING,2023-06-18,3167393.0,1528725,48.5,23.419,1337850,20.495,,2021-03-31,6.0,300818.0,4.608
Mauritius,MUS,AFRO,REPORTING,2023-07-30,2616012.0,1123773,205.699,88.363,1088142,85.561,,2021-01-26,3.0,654507.0,51.464
Mongolia,MNG,WPRO,REPORTING,2023-03-17,5668144.0,2284018,172.899,69.671,2185282,66.659,,2021-02-23,6.0,1058839.0,32.299
North Macedonia,MKD,EURO,REPORTING,2023-05-07,1862987.0,854570,89.4,40.629,838181,39.85,,2021-02-17,7.0,161633.0,7.685
Seychelles,SYC,AFRO,REPORTING,2023-04-09,224558.0,88520,228.332,90.008,83565,84.97,,2021-01-10,4.0,44936.0,45.691
Trinidad and Tobago,TTO,AMRO,REPORTING,2023-06-02,1589640.0,754399,113.587,53.905,718969,51.374,,2021-02-17,5.0,174836.0,12.493
Turkmenistan,TKM,EURO,REPORTING,2023-08-06,16775970.0,4614869,278.2,72.768,4568901,72.044,,2021-02-24,7.0,3816400.0,60.178
Uganda,UGA,AFRO,REPORTING,2023-05-28,26406936.0,20033189,57.731,43.797,13061126,28.555,,2021-03-10,5.0,764664.0,1.672
Ukraine,UKR,EURO,REPORTING,2022-02-27,31668577.0,15774300,72.4,36.237,15153577,34.811,,2021-02-24,6.0,741197.0,1.703
Yemen,YEM,EMRO,REPORTING,2023-09-17,1287688.0,1041596,4.317,3.492,798451,2.677,,2021-04-20,11.0,66565.0,0.223
New Caledonia,NCL,WPRO,REPORTING,2023-04-03,480497.0,192371,168.301,67.381,184801,64.729,,2021-01-20,2.0,103325.0,36.191
Nigeria,NGA,AFRO,REPORTING,2023-11-05,133048021.0,93829435,64.543,45.517,81297808,39.438,,2021-03-05,1.0,16826715.0,8.163
Niue,NIU,WPRO,REPORTING,2023-03-04,4923.0,1638,304.265,101.236,1635,101.051,,2021-06-08,1.0,1225.0,75.711
occupied Palestinian territory,PSE,EMRO,REPORTING,2022-10-18,3748571.0,2012767,73.481,39.455,1776973,34.833,,2021-02-02,10.0,336967.0,6.605
Saba,XCA,AMRO,REPORTING,2023-06-02,4979.0,1687,257.579,87.274,1667,86.239,,,,1170.0,60.528
San Marino,SMR,EURO,REPORTING,2022-05-22,69338.0,26357,204.3,78.105,23633,70.033,,2021-02-24,2.0,19348.0,57.335
South Sudan,SSD,AFRO,REPORTING,2023-10-01,4365547.0,4315127,39.0,38.55,4273253,38.175,,2021-04-06,2.0,513122.0,4.584
Tajikistan,TJK,EURO,REPORTING,2023-06-04,20525784.0,5328277,215.2,54.649,5191919,53.25,,2021-03-24,8.0,5280117.0,54.155
Turks and Caicos Islands,TCA,AMRO,REPORTING,2023-06-02,73907.0,32815,190.885,84.754,30710,79.317,,2021-01-11,1.0,7443.0,19.224
Antigua and Barbuda,ATG,AMRO,REPORTING,2023-06-02,136512.0,64290,139.399,65.65,62384,63.703,,2021-03-01,6.0,9838.0,10.046
Bonaire,XAA,AMRO,REPORTING,2023-06-02,43070.0,17460,205.929,83.481,16189,77.404,,,,8125.0,38.848
Colombia,COL,AMRO,REPORTING,2023-06-02,90506612.0,43012174,177.872,84.532,37019801,72.755,,2021-02-17,5.0,14792792.0,29.072
Comoros,COM,AFRO,REPORTING,2022-10-02,835021.0,438825,96.023,50.463,397080,45.662,,2021-04-10,3.0,,
Cyprus,CYP,EURO,REPORTING,2023-09-17,1858992.0,669230,209.3,73.979,656139,72.525,,2020-12-23,5.0,487409.0,53.875
Democratic Republic of the Congo,COD,AFRO,REPORTING,2023-06-04,18808671.0,17045721,21.001,19.032,14399520,16.078,,2021-04-19,1.0,,
Equatorial Guinea,GNQ,AFRO,REPORTING,2022-07-24,488738.0,270109,34.836,19.252,214032,15.255,,2021-02-12,2.0,4597.0,0.328
Eritrea,ERI,AFRO,REPORTING,2022-07-03,,0,,0.0,0,0.0,,,,,
Ghana,GHA,AFRO,REPORTING,2023-07-02,25624828.0,13864186,82.467,44.618,10780003,34.693,,2021-03-02,2.0,4806017.0,15.467
Iraq,IRQ,EMRO,REPORTING,2023-01-02,19557364.0,11332925,48.623,28.176,7944775,19.752,,2021-03-02,10.0,275280.0,0.684
Isle of Man,IMN,EURO,OWID,2022-06-23,189994.0,69560,223.438,81.804,67106,78.919,,,3.0,53328.0,62.715
Jamaica,JAM,AMRO,REPORTING,2023-10-06,1528445.0,722248,51.616,24.391,760132,25.67,,2021-03-10,6.0,46065.0,1.556
Liechtenstein,LIE,OTHER,REPORTING,2022-04-10,71104.0,26681,183.5,68.86,26346,67.995,,2021-01-06,3.0,18310.0,47.255
Mali,MLI,AFRO,REPORTING,2023-05-14,5922585.0,4354292,29.246,21.502,3633589,17.943,,2021-03-31,1.0,,
Martinique,MTQ,AMRO,REPORTING,2023-07-14,401947.0,150824,107.11,40.191,145560,38.789,,,2.0,92934.0,24.765
Mexico,MEX,AMRO,REPORTING,2023-06-30,222921381.0,84500208,172.897,65.538,81407121,63.139,,2020-12-24,8.0,57014052.0,44.22
Monaco,MCO,EURO,REPORTING,2022-12-04,71027.0,25319,181.0,69.015,24933,67.963,,2021-06-30,7.0,17806.0,48.536
Montenegro,MNE,EURO,REPORTING,2022-12-04,523735.0,272152,83.4,43.346,251583,40.07,,2021-02-24,5.0,0.0,0.0
Morocco,MAR,EMRO,REPORTING,2023-05-14,55389602.0,25020168,150.064,67.786,23521989,63.727,,2021-01-28,10.0,6884356.0,18.651
Mozambique,MOZ,AFRO,REPORTING,2023-07-02,34950858.0,22869646,111.823,73.17,21329745,68.243,,2021-03-08,3.0,2323562.0,7.434
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,2023-05-30,123536.0,46824,214.632,81.352,45953,79.839,,2020-12-19,3.0,26121.0,45.383
Norway,NOR,EURO,REPORTING,2023-09-03,12335349.0,4346149,229.8,80.109,4061312,74.859,,2020-12-23,4.0,3020434.0,55.673
Panama,PAN,AMRO,REPORTING,2023-10-06,9169341.0,3746041,212.511,86.819,3175368,73.593,,2021-01-20,2.0,1770362.0,41.03
Peru,PER,AMRO,REPORTING,2023-11-17,90951865.0,30542485,275.847,92.632,28700007,87.044,,2021-02-09,4.0,22241901.0,67.457
Poland,POL,EURO,REPORTING,2023-10-01,58240570.0,22984543,153.4,61.041,22705868,60.301,,2020-12-23,5.0,12534539.0,33.289
Puerto Rico,PRI,AMRO,REPORTING,2023-06-02,7846764.0,2905470,274.281,101.56,2688410,93.972,,,4.0,1808780.0,63.225
Sao Tome and Principe,STP,AFRO,REPORTING,2023-07-30,263863.0,140256,120.398,63.997,111986,51.098,,2021-03-15,2.0,34624.0,15.799
Suriname,SUR,AMRO,REPORTING,2023-06-02,554588.0,267820,94.538,45.654,237879,40.55,,2021-02-23,5.0,48889.0,8.334
Azerbaijan,AZE,EURO,REPORTING,2023-09-24,13829360.0,5436662,136.4,52.717,4888112,47.398,,2021-01-20,5.0,3504588.0,33.982
Belgium,BEL,EURO,REPORTING,2023-09-03,29120974.0,9255132,252.7,79.665,9158814,78.836,,2020-12-30,5.0,7245372.0,62.365
Bhutan,BTN,SEARO,REPORTING,2022-10-30,2011426.0,699116,260.68,90.605,677669,87.826,,2021-03-27,5.0,634641.0,82.249
Bosnia and Herzegovina,BIH,EURO,REPORTING,2022-01-29,1924950.0,943394,,28.842,846080,25.867,,,4.0,,
China,CHN,WPRO,REPORTING,2023-04-20,3516880717.0,1318026807,239.034,89.583,1284479582,87.303,,2020-07-22,8.0,834060133.0,56.689
Cook Islands,COK,WPRO,REPORTING,2023-01-31,40080.0,15112,228.194,86.04,14728,83.853,,2021-05-17,1.0,10240.0,58.301
Czechia,CZE,EURO,REPORTING,2023-10-01,18618084.0,6972320,174.1,66.298,6887986,65.496,,2020-12-23,9.0,4366166.0,41.516
Djibouti,DJI,EMRO,REPORTING,2023-10-08,442199.0,421573,44.757,42.669,401208,40.608,,2021-03-15,11.0,,
